[admin.py:29] - 2023-08-18 10:27:17,961 - INFO - isUserAdmin - CheckTokenMembership returned: False
[PngImagePlugin.py:190] - 2023-08-18 10:28:48,591 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-18 10:28:48,591 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-08-18 10:28:48,592 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-18 10:28:48,592 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-18 10:28:48,592 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-08-18 10:28:48,594 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-18 10:28:48,594 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-18 10:28:48,596 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-08-18 10:28:48,596 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-08-18 10:28:48,596 - DEBUG - STREAM b'IDAT' 91 766
[PngImagePlugin.py:190] - 2023-08-18 10:28:48,597 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-18 10:28:48,598 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-18 10:28:48,598 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-08-18 10:28:48,598 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-08-18 10:28:48,598 - DEBUG - STREAM b'IDAT' 91 601
[PngImagePlugin.py:190] - 2023-08-18 10:28:48,599 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-18 10:28:48,600 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-18 10:28:48,600 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-08-18 10:28:48,600 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-08-18 10:28:48,600 - DEBUG - STREAM b'IDAT' 91 1063
[admin.py:92] - 2023-08-18 10:28:55,971 - INFO - Process handle <PyHANDLE:1528> returned code 0
[admin.py:29] - 2023-08-18 10:34:08,813 - INFO - isUserAdmin - CheckTokenMembership returned: False
[builder.pyw:603] - 2023-08-18 10:34:08,814 - ERROR - File must be run with admin privileges
[admin.py:70] - 2023-08-18 10:34:08,831 - DEBUG - Defaulting to runAsAdmin command line: ['C:\\Users\\ethan\\AppData\\Local\\Programs\\Python\\Python311\\pythonw.exe', 'C:\\Users\\ethan\\Downloads\\Luna-Grabber-main (1)\\Luna-Grabber-main\\builder.pyw']
[admin.py:80] - 2023-08-18 10:34:08,831 - INFO - Running command 'C:\\Users\\ethan\\AppData\\Local\\Programs\\Python\\Python311\\pythonw.exe' - '"C:\\Users\\ethan\\Downloads\\Luna-Grabber-main (1)\\Luna-Grabber-main\\builder.pyw"'
[admin.py:29] - 2023-08-18 10:34:12,427 - INFO - isUserAdmin - CheckTokenMembership returned: True
[PngImagePlugin.py:190] - 2023-08-18 10:34:12,692 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-18 10:34:12,692 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-18 10:34:12,692 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-08-18 10:34:12,693 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-18 10:34:12,693 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-18 10:34:12,693 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-08-18 10:34:12,693 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-18 10:34:12,694 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-18 10:34:12,694 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-08-18 10:34:12,694 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-18 10:34:12,695 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-18 10:34:12,695 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-08-18 10:34:12,695 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-08-18 10:34:12,695 - DEBUG - STREAM b'IDAT' 91 766
[PngImagePlugin.py:190] - 2023-08-18 10:34:12,695 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-18 10:34:12,695 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-18 10:34:12,695 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-08-18 10:34:12,696 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-08-18 10:34:12,696 - DEBUG - STREAM b'IDAT' 91 601
[PngImagePlugin.py:190] - 2023-08-18 10:34:12,697 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-18 10:34:12,697 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-18 10:34:12,697 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-08-18 10:34:12,697 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-08-18 10:34:12,697 - DEBUG - STREAM b'IDAT' 91 1063
[admin.py:92] - 2023-08-18 10:42:42,464 - INFO - Process handle <PyHANDLE:1372> returned code 0
